Addr,Walkscore,Walkscore_description,Snapped_lat,Snapped_lon,Transit_score,Transit_description,Transit_summary,Bike_score,Bike_description,Ml_num,Lat,Lng,LatLng_status
"(lower) - 11 Sparkling Place, Brampton, ON L6R 2W9",,,,,,,,,,W11902466,43.7730045,-79.73753459999999,1
"0 PINE GROVE Road, Greater Napanee, ON K0K 2L0",,,,,,,,,,X9412594,44.3381451,-77.0415933,1
"1 - 256 Coleman Street, Belleville, ON K8P 3H7",,,,,,,,,,X11902369,44.1658073,-77.38772999999999,1
"1 - 9621 Jane Street, Vaughan, ON L6A 4G5",,,,,,,,,,N9368821,43.8420472,-79.53465770000001,1
"1 Birch Knoll Road, Georgina, ON L0E 1R0",,,,,,,,,,N11899912,44.3168045,-79.3487502,1
"1 Tuscany Court, St. Catharines, ON L2S 0E2",,,,,,,,,,X11893710,43.1664699,-79.27145999999999,1
"100 - 4145 North Service Road, Burlington, ON L7L 6A3",,,,,,,,,,W9271557,43.37175,-79.7838477,1
"1001 - 50 Thomas Riley Road, Toronto, ON M9B 0C5",,,,,,,,,,W11902500,43.6338293,-79.5415921,1
"1001 - 501 Adelaide Street, Toronto, ON M5V 0R3",100,Walker's Paradise,43.6455,-79.401,100,Rider's Paradise,"17 nearby routes: 7 bus, 10 rail, 0 other",99,Biker's Paradise,C9768299,43.64546379999999,-79.40130189999999,1
"1002 - 128 Pears Avenue, Toronto, ON M5R 1T2",,,,,,,,,,C11899052,43.675611,-79.3978528,1
"1002 - 1328 Birchmount Road, Toronto, ON M1W 3T8",,,,,,,,,,E11888355,43.74853170000001,-79.2862064,1
"1005 - 325 Yorkland Boulevard, Toronto, ON M2J 0H8",,,,,,,,,,C11902390,43.7740046,-79.3328152,1
"101 - 140 Allstate Parkway, Markham, ON L3R 5Y8",,,,,,,,,,N8142502,43.8553188,-79.3693241,1
"101 Waterloo Street, Goderich, ON N7A 2W5",,,,,,,,,,X11881220,43.7465276,-81.715034,1
"1019 Massie Drive, Prescott, ON K0E 1T0",,,,,,,,,,X11901840,44.7225071,-75.5181831,1
"102 - 36 Birch Avenue, Toronto, ON M4V 0B5",97,Walker's Paradise,43.6815,-79.3935,86,Excellent Transit,"15 nearby routes: 12 bus, 3 rail, 0 other",81,Very Bikeable,C9418603,43.6812967,-79.3929771,1
"102 Kendall Drive, Milton, ON L9T 0R5",68,Somewhat Walkable,43.5045,-79.8885,35,Some Transit,"7 nearby routes: 7 bus, 0 rail, 0 other",64,Bikeable,W11901123,43.5044924,-79.88880499999999,1
"103 - 414 Blake Street, Barrie, ON L4M 5J7",,,,,,,,,,S10429297,44.3997834,-79.6520257,1
"103 - 9 Tecumseth Street, Toronto, ON M5V 0S5",,,,,,,,,,C11890093,43.6410139,-79.4037653,1
